"age","gender","city","event_freq","travel_willingness","importance_meet_people","age_connect","gender_connect","maintain_contact","wish_maintain_contact","event_category","Municipality","region","neighbors","ID","Latitude","Longitude"
24,"female",8000,"once a month","anywhere","5","same","female","never","never","Food & Drink, Music, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_11",56.0402477520737,10.1788301319533
18,"female",8200,"once a week","in_city","3","same","female","never","sometimes","Food & Drink, Health, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_12",56.0947348971002,10.1442551987457
52,"female",4660,"rarely","anywhere","5","same","female","sometimes","never","Health, Music, Business, Film & Media, Spirituality, Sports & Fitness, Travel & Outdoor","Stevns","Sjælland","Faxe, Køge","PER_13",55.3481268563155,12.1872755051719
25,"male",8000,"once a month","neighbouring","3","same","female, male","sometimes","sometimes","Health, Business, Education, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_14",56.2694502407755,10.2773817584301
23,"female",8240,"rarely","anywhere","4","same","female, male","sometimes","sometimes","Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_15",56.1750709322746,10.1677136687953
22,"female",4600,"once a month","region","4","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Business, Education, Sports & Fitness, Travel & Outdoor","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_16",55.4307366524056,11.9764692244651
22,"female",4600,"once a month","region","4","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Business, Education, Sports & Fitness, Travel & Outdoor","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_17",55.4577053598961,12.0774262804232
24,"female",8000,"once a month","anywhere","5","same","female","never","never","Food & Drink, Music, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_18",56.2975660670844,10.2382010844063
26,"female",8000,"multiple times a week","neighbouring","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Health, Music, Business, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_19",56.1061630801194,10.0676943872535
22,"female",4000,"once a week","region","2","same","female, male","sometimes","always","Food & Drink, Health, Music, Business, Sports & Fitness, Travel & Outdoor","Roskilde","Sjælland","Egedal, Frederikssund, Høje Taastrup, Greve, Køge, Lejre, Solrød","PER_20",55.6968315130155,12.1246491527238
23,"female",8000,"once a month","anywhere","5","older","female, male","never","never","Food & Drink, Music, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_21",56.2600015695383,10.1905453218695
22,"female",4600,"once a month","region","4","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Business, Education, Sports & Fitness, Travel & Outdoor","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_22",55.4951837780803,12.162163399239
25,"female",8200,"once a week","neighbouring","5","same","female","never","sometimes","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_23",56.2080460202961,10.2231864962407
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Travel & Outdoor","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_24",55.9626131083095,11.9544764538083
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Performing and Visual Arts, Spirituality","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_25",55.9787521782799,11.9575650202378
24,"female",9000,"once a month","region","4","same","female, male, genderqueer, other","sometimes","sometimes","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_26",57.0196167017914,9.76550962530288
22,"female",4600,"once a month","region","4","same","female","sometimes","sometimes","Food & Drink, Music, Film & Media, Performing and Visual Arts","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_27",55.4205895622433,12.0552383762827
23,"male",1310,"once a month","neighbouring","5","same","male","never","never","Food & Drink, Health, Music, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor","København","Hovedstaden","Frederiksberg, Gentofte, Gladsaxe, Herlev, Hvidovre, Rødovre, Tårnby","PER_28",55.7073431563326,12.5080156850706
23,"female",8000,"once a month","in_city","4","same","female","never","sometimes","Food & Drink, Health, Music, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_29",56.0870571543203,10.2347100401959
18,"female",8200,"once a week","in_city","3","same","female","never","sometimes","Food & Drink, Health, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_30",56.0339808006323,10.2119448332921
51,"female",4690,"rarely","anywhere","5","same","female, male","never","never","Food & Drink, Music, Film & Media, Travel & Outdoor","Faxe","Sjælland","Køge, Næstved, Ringsted, Stevns","PER_31",55.3665080108185,11.8867410901171
26,"male",9000,"once a week","anywhere","2","same","female, male, genderqueer, other","sometimes","sometimes","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_32",56.9015393599054,9.53848311420342
23,"female",8200,"once a week","in_city","3","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_33",56.2644831111871,10.3315615510063
21,"female",8000,"once a month","in_city","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_34",56.1526852332856,10.1484547904636
22,"female",4600,"once a month","region","4","same","female","sometimes","sometimes","Food & Drink, Music, Film & Media, Performing and Visual Arts","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_35",55.4463469851084,11.9602695636601
21,"female",8200,"once a month","anywhere","5","same","female, genderqueer","sometimes","sometimes","Health, Music, Charity, Film & Media","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_36",56.2310540599595,10.233689782423
25,"male",8000,"once a month","neighbouring","3","same","female, male","sometimes","sometimes","Health, Business, Education, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_37",56.1580489092635,10.0853280550085
21,"female",8000,"once a month","in_city","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_38",56.2352831802753,10.254341952929
24,"female",2650,"rarely","anywhere","3","older","female","never","sometimes","Food & Drink, Charity, Film & Media, Travel & Outdoor","Hvidovre","Hovedstaden","Brøndby, København, Rødovre, Tårnby","PER_39",55.6428505660649,12.4502875855041
25,"female",8200,"once a week","neighbouring","5","same","female","never","sometimes","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_40",56.0701198540066,10.1582938251475
22,"genderqueer",7830,"rarely","region","3","same","female, genderqueer, other","never","always","Food & Drink, Health, Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Skive","Midtjylland","Holstebro, Viborg","PER_41",56.5972861271559,9.21789312696581
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Performing and Visual Arts, Spirituality","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_42",55.9995290748927,12.0616306883809
24,"female",2300,"once a month","region","5","same","female","sometimes","sometimes","Health, Charity, Education, Science & Tech","Frederiksberg","Hovedstaden","København","PER_43",55.6795814446815,12.5363354389934
22,"genderqueer",7830,"rarely","region","3","same","female, genderqueer, other","never","always","Food & Drink, Health, Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Skive","Midtjylland","Holstebro, Viborg","PER_44",56.6238249118746,9.13777011772648
23,"male",1310,"once a month","neighbouring","5","same","male","never","never","Food & Drink, Health, Music, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor","København","Hovedstaden","Frederiksberg, Gentofte, Gladsaxe, Herlev, Hvidovre, Rødovre, Tårnby","PER_45",55.6912655335612,12.6245517574508
23,"female",8210,"once a week","in_city","3","same","female, genderqueer","sometimes","sometimes","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_46",56.1637586428026,10.0661505881536
21,"female",8200,"once a month","anywhere","5","same","female, genderqueer","sometimes","sometimes","Health, Music, Charity, Film & Media","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_47",56.2478912240444,10.2625485803724
23,"female",8200,"once a week","in_city","3","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_48",56.1537070880329,10.1626289244945
52,"female",4660,"rarely","anywhere","5","same","female","sometimes","never","Health, Music, Business, Film & Media, Spirituality, Sports & Fitness, Travel & Outdoor","Stevns","Sjælland","Faxe, Køge","PER_49",55.3111243875546,12.3596573495954
22,"female",8000,"once a week","neighbouring","3","younger","male, genderqueer","sometimes","sometimes","Food & Drink, Health","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_50",56.1516431746881,10.0128113583573
51,"female",4690,"rarely","anywhere","5","same","female, male","never","never","Food & Drink, Music, Film & Media, Travel & Outdoor","Faxe","Sjælland","Køge, Næstved, Ringsted, Stevns","PER_51",55.2865693404623,12.2076387854745
21,"female",8000,"once a month","neighbouring","3","same","female, genderqueer","sometimes","sometimes","Food & Drink, Music, Performing and Visual Arts","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_52",56.0410532152753,10.2046365297579
22,"female",4600,"once a month","region","4","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Business, Education, Sports & Fitness, Travel & Outdoor","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_53",55.5142746632716,12.0852891881385
25,"male",8200,"once a month","anywhere","5","same","male","sometimes","sometimes","Food & Drink, Film & Media, Performing and Visual Arts","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_54",56.3157001259539,10.2100052010447
23,"female",8000,"once a month","in_city","4","same","female","never","sometimes","Food & Drink, Health, Music, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_55",56.2701370506939,10.1788585049767
22,"female",9000,"once a month","neighbouring","5","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Health, Music, Business, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_56",56.9757110807955,9.81115892843854
23,"female",8000,"once a month","in_city","4","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_57",56.2227360857407,10.2236500705719
23,"male",1310,"once a month","neighbouring","5","same","male","never","never","Food & Drink, Health, Music, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor","København","Hovedstaden","Frederiksberg, Gentofte, Gladsaxe, Herlev, Hvidovre, Rødovre, Tårnby","PER_58",55.6226821578149,12.5649550990947
22,"female",4000,"once a week","region","2","same","female, male","sometimes","always","Food & Drink, Health, Music, Business, Sports & Fitness, Travel & Outdoor","Roskilde","Sjælland","Egedal, Frederikssund, Høje Taastrup, Greve, Køge, Lejre, Solrød","PER_59",55.6093758366026,12.1499894315263
25,"male",8000,"once a month","neighbouring","3","same","female, male","sometimes","sometimes","Health, Business, Education, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_60",56.1753655675893,10.007006684787
24,"female",2300,"once a month","region","5","same","female","sometimes","sometimes","Health, Charity, Education, Science & Tech","Frederiksberg","Hovedstaden","København","PER_61",55.6801949923812,12.5458742188178
20,"female",8200,"once a month","in_city","4","same","female, genderqueer","sometimes","always","Food & Drink, Music, Education, Film & Media, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_62",56.1820954056898,10.1658270446055
24,"female",2650,"rarely","anywhere","3","older","female","never","sometimes","Food & Drink, Charity, Film & Media, Travel & Outdoor","Hvidovre","Hovedstaden","Brøndby, København, Rødovre, Tårnby","PER_63",55.6426336487955,12.4830023515464
24,"female",2650,"rarely","anywhere","3","older","female","never","sometimes","Food & Drink, Charity, Film & Media, Travel & Outdoor","Hvidovre","Hovedstaden","Brøndby, København, Rødovre, Tårnby","PER_64",55.6061837005577,12.478100532381
22,"genderqueer",7830,"rarely","region","3","same","female, genderqueer, other","never","always","Food & Drink, Health, Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Skive","Midtjylland","Holstebro, Viborg","PER_65",56.777794694299,9.07051397616723
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Travel & Outdoor","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_66",55.9865112328293,12.0690954748454
60,"male",4660,"rarely","anywhere","4","same","female, male","sometimes","sometimes","Food & Drink, Education, Science & Tech, Sports & Fitness, Travel & Outdoor","Stevns","Sjælland","Faxe, Køge","PER_67",55.3679407265683,12.2621914877096
21,"female",8200,"once a month","anywhere","5","same","female, genderqueer","sometimes","sometimes","Health, Music, Charity, Film & Media","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_68",56.2141703121948,10.1531649719372
26,"male",9000,"once a week","anywhere","4","same","male","sometimes","sometimes","Food & Drink, Music, Business, Education, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_69",57.0174369236326,10.1115124770287
52,"female",4660,"rarely","anywhere","5","same","female","sometimes","never","Health, Music, Business, Film & Media, Spirituality, Sports & Fitness, Travel & Outdoor","Stevns","Sjælland","Faxe, Køge","PER_70",55.3866589139492,12.3387345654299
25,"male",8200,"once a month","anywhere","5","same","male","sometimes","sometimes","Food & Drink, Film & Media, Performing and Visual Arts","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_71",56.0695733994566,10.1963219826501
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Travel & Outdoor","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_72",56.0030755844655,11.9807132553553
23,"male",8200,"rarely","neighbouring","4","same","male","never","sometimes","Food & Drink, Health, Music, Education, Film & Media, Science & Tech","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_73",56.129688481053,10.0641360976428
21,"female",8000,"once a month","anywhere","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Sports & Fitness","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_74",56.2410562879503,10.2150238023138
22,"female",4000,"once a week","region","2","same","female, male","sometimes","always","Food & Drink, Health, Music, Business, Sports & Fitness, Travel & Outdoor","Roskilde","Sjælland","Egedal, Frederikssund, Høje Taastrup, Greve, Køge, Lejre, Solrød","PER_75",55.5984578052744,12.1158532858178
20,"female",8260,"once a week","anywhere","4","same","female, genderqueer","sometimes","sometimes","Food & Drink, Music, Charity, Education, Sports & Fitness","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_76",56.1153988060931,10.0685910975048
20,"male",8200,"once a month","in_city","2","older","female, male","never","always","Food & Drink, Charity, Education, Performing and Visual Arts","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_77",56.1762851925132,10.0663840950551
24,"female",2650,"rarely","anywhere","3","older","female","never","sometimes","Food & Drink, Charity, Film & Media, Travel & Outdoor","Hvidovre","Hovedstaden","Brøndby, København, Rødovre, Tårnby","PER_78",55.617689631284,12.4745181047704
23,"female",8200,"once a week","in_city","3","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_79",56.2837789523252,10.2211307153307
22,"female",9000,"rarely","region","5","same","female, male","sometimes","never","Food & Drink, Music, Film & Media, Sports & Fitness","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_80",57.0961964274125,9.9348575358324
52,"female",4660,"rarely","anywhere","5","same","female","sometimes","never","Health, Music, Business, Film & Media, Spirituality, Sports & Fitness, Travel & Outdoor","Stevns","Sjælland","Faxe, Køge","PER_81",55.407986011873,12.2583018242336
22,"genderqueer",8000,"once a month","region","5","same","female, genderqueer","sometimes","sometimes","Food & Drink, Music, Film & Media, Performing and Visual Arts, Spirituality","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_82",56.2491523912789,10.1308131483796
22,"female",9000,"once a month","neighbouring","5","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Health, Music, Business, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_83",56.9756111421494,9.70529271285159
22,"genderqueer",8000,"once a month","region","5","same","female, genderqueer","sometimes","sometimes","Food & Drink, Music, Film & Media, Performing and Visual Arts, Spirituality","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_84",56.2915871792052,10.1361080930378
23,"female",8000,"once a month","in_city","4","same","female","never","sometimes","Food & Drink, Health, Music, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_85",56.0473104480883,10.1974326329937
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Travel & Outdoor","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_86",55.9630887632072,12.0629624586207
23,"male",1310,"once a month","neighbouring","5","same","male","never","never","Food & Drink, Health, Music, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor","København","Hovedstaden","Frederiksberg, Gentofte, Gladsaxe, Herlev, Hvidovre, Rødovre, Tårnby","PER_87",55.7216492530089,12.604532662905
22,"female",4600,"once a month","region","4","same","female, male","sometimes","sometimes","Food & Drink, Health, Music, Business, Education, Sports & Fitness, Travel & Outdoor","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_88",55.4556056961226,12.1763449895505
22,"female",5260,"rarely","anywhere","3","same","female","sometimes","always","Food & Drink, Health, Music, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor","Odense","Syddanmark","Assens, Faaborg-Midtfyn, Kerteminde, Nordfyns","PER_89",55.3741676620083,10.2716089718303
22,"female",8000,"once a week","neighbouring","3","younger","male, genderqueer","sometimes","sometimes","Food & Drink, Health","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_90",56.1481883924828,10.0583477093459
21,"female",8000,"once a month","neighbouring","3","same","female, genderqueer","sometimes","sometimes","Food & Drink, Music, Performing and Visual Arts","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_91",56.2490705805553,10.264635443144
22,"male",8000,"once a month","neighbouring","3","older","female","never","sometimes","Food & Drink, Health, Music, Business, Film & Media","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_92",56.2322638769949,10.2050013119533
22,"female",8520,"once a month","anywhere","5","same","female, genderqueer, other","sometimes","sometimes","Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Travel & Outdoor","Norddjurs","Midtjylland","Randers, Syddjurs","PER_93",56.5077142103737,10.3484577845517
22,"genderqueer",7830,"rarely","region","3","same","female, genderqueer, other","never","always","Food & Drink, Health, Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor","Skive","Midtjylland","Holstebro, Viborg","PER_94",56.5714273376641,9.233175254221
26,"male",9000,"once a week","anywhere","2","same","female, male, genderqueer, other","sometimes","sometimes","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_95",56.9899187228914,9.90832667433895
27,"male",9000,"once a month","region","4","same","male","sometimes","sometimes","Food & Drink, Science & Tech, Travel & Outdoor","Aalborg","Nordjylland","Brønderslev, Jammerbugt, Mariagerfjord, Rebild, Vesthimmerland","PER_96",57.1580088400736,9.9426326496779
23,"male",8200,"rarely","neighbouring","4","same","male","never","sometimes","Food & Drink, Health, Music, Education, Film & Media, Science & Tech","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_97",56.1095399048335,10.143231165502
23,"female",8210,"once a week","in_city","3","same","female, genderqueer","sometimes","sometimes","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_98",56.1897825507594,10.1077591267924
22,"female",4000,"once a week","region","2","same","female, male","sometimes","always","Food & Drink, Health, Music, Business, Sports & Fitness, Travel & Outdoor","Roskilde","Sjælland","Egedal, Frederikssund, Høje Taastrup, Greve, Køge, Lejre, Solrød","PER_99",55.5721590108576,11.9874395265674
51,"female",4690,"rarely","anywhere","5","same","female, male","never","never","Food & Drink, Music, Film & Media, Travel & Outdoor","Faxe","Sjælland","Køge, Næstved, Ringsted, Stevns","PER_100",55.2995045137282,12.0666734588599
51,"female",4690,"rarely","anywhere","5","same","female, male","never","never","Food & Drink, Music, Film & Media, Travel & Outdoor","Faxe","Sjælland","Køge, Næstved, Ringsted, Stevns","PER_101",55.3087568836059,11.8858920632349
24,"male",8381,"once a month","anywhere","5","same","male","never","never","Food & Drink, Health, Music, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Samsø","Midtjylland","","PER_102",55.9910515409757,10.5467770874366
22,"female",4600,"once a month","region","4","same","female","sometimes","sometimes","Food & Drink, Music, Film & Media, Performing and Visual Arts","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_103",55.4358382619394,12.0846429680375
24,"female",2300,"once a month","region","5","same","female","sometimes","sometimes","Health, Charity, Education, Science & Tech","Frederiksberg","Hovedstaden","København","PER_104",55.6779846406427,12.5492053405088
23,"male",4681,"once a week","anywhere","2","same","female, male","sometimes","sometimes","Food & Drink, Health, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Stevns","Sjælland","Faxe, Køge","PER_105",55.3054793114967,12.433618719847
21,"female",8000,"once a month","in_city","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_106",56.200105183938,10.0530758031102
